Index,LengthOfURL,LengthOfDomain,ObfuscationRate,CharacterProbabilityInURL,LengthOfTLD,ContainsObfuscation,CharacterContinuityRate,CountOfSubdomains,LetterCountInURL,IsDomainAnIP,NumberOfiFrames,CountOfObfuscatedChars,TopLevelDomain,LegitimacyProbabilityOfTLD,Target
43687,42.0,35.0,,0.053861541,,0.0,0.392857143,2.0,,0.0,0.0,0.0,st,0.0001786,0
25370,22.0,16.0,0.0,0.061471044,,,,1.0,10.0,,1.0,0.0,rest,,0
43964,28.0,,,0.054964097,2.0,0.0,1.0,1.0,15.0,0.0,,0.0,de,0.0326503,1
46215,,19.0,0.0,0.072446449,3.0,0.0,1.0,1.0,,,0.0,0.0,com,0.5229071,1
45258,,18.0,,0.059588247,,0.0,1.0,1.0,13.0,0.0,,0.0,com,0.5229071,0
24368,,21.0,0.0,0.041489177,2.0,0.0,,1.0,,0.0,,0.0,,0.0040185,0
38388,26.0,19.0,0.0,0.060087161,2.0,0.0,0.583333333,1.0,12.0,0.0,,,it,,1
54492,22.0,16.0,0.0,0.05548242,2.0,0.0,,1.0,,0.0,0.0,0.0,cf,0.0001858,0
46362,,,0.0,0.067132068,3.0,,1.0,1.0,,0.0,3.0,0.0,com,0.5229071,1
48735,25.0,,0.0,0.056817497,,0.0,1.0,1.0,12.0,,5.0,,com,,1
30798,29.0,22.0,0.0,0.036480612,3.0,,0.611111111,1.0,20.0,0.0,,0.0,org,0.0799628,0
51705,31.0,24.0,0.0,0.066746787,3.0,,1.0,1.0,,,4.0,0.0,com,,1
9755,22.0,15.0,,0.061723091,,0.0,,1.0,9.0,0.0,2.0,0.0,com,0.5229071,1
30032,,14.0,0.0,0.065702173,3.0,,1.0,1.0,8.0,,0.0,0.0,app,0.001502,1
30656,56.0,50.0,0.0,0.036559495,3.0,0.0,0.452380952,4.0,,0.0,0.0,0.0,com,,0
8276,38.0,30.0,0.0,0.056258031,,0.0,0.615384615,,,0.0,0.0,0.0,com,0.5229071,0
40234,33.0,26.0,,0.062669524,3.0,0.0,0.722222222,1.0,19.0,0.0,3.0,0.0,com,,1
28999,,7.0,0.0,0.032260934,2.0,0.0,1.0,0.0,60.0,0.0,,0.0,io,0.0129268,0
32824,28.0,20.0,,0.055526214,3.0,0.0,,1.0,,0.0,0.0,0.0,,0.001502,0
31541,,22.0,,,2.0,,1.0,,16.0,0.0,,0.0,,0.0012193,0
1259,20.0,,,0.031733938,2.0,,1.0,1.0,,0.0,0.0,0.0,ga,0.0002256,0
37499,29.0,21.0,0.0,0.053135174,3.0,0.0,0.647058824,1.0,,0.0,,0.0,,,0
23187,,23.0,0.0,0.065744895,3.0,0.0,,1.0,17.0,,1.0,,com,0.5229071,1
49589,20.0,,0.0,,,0.0,1.0,0.0,11.0,0.0,0.0,0.0,com,0.5229071,0
19616,56.0,47.0,0.0,0.021086991,,0.0,,2.0,,0.0,,0.0,co,0.0059772,0
49441,30.0,23.0,,0.057612285,2.0,0.0,0.875,2.0,16.0,,0.0,0.0,,0.028555,1
35834,22.0,15.0,,0.072319951,2.0,,0.75,1.0,8.0,0.0,1.0,,,0.0180132,1
25413,,48.0,0.0,,4.0,0.0,0.23255814,4.0,33.0,0.0,0.0,0.0,shop,0.0004041,0
41329,66.0,18.0,0.0,,3.0,0.0,0.857142857,0.0,51.0,0.0,0.0,0.0,,0.5229071,0
4764,27.0,20.0,0.0,0.055960102,,,0.769230769,,13.0,0.0,1.0,,br,0.0094423,1
42537,28.0,21.0,0.0,0.059342108,2.0,0.0,0.785714286,,14.0,,4.0,0.0,sg,0.0008953,1
54662,19.0,12.0,0.0,0.06548534,,0.0,1.0,,6.0,0.0,,0.0,ro,0.001523,1
15751,33.0,25.0,0.0,0.047569182,3.0,0.0,0.666666667,1.0,18.0,,,,com,0.5229071,0
8484,17.0,10.0,0.0,,2.0,0.0,,,4.0,0.0,,0.0,ro,0.001523,1
25486,24.0,17.0,0.0,0.061020173,,0.0,1.0,1.0,11.0,0.0,,0.0,,0.0384199,1
407,23.0,17.0,0.0,0.058846352,2.0,0.0,1.0,1.0,,0.0,,0.0,,0.0001858,0
28046,22.0,15.0,0.0,,3.0,,1.0,1.0,9.0,,6.0,0.0,com,0.5229071,1
1790,28.0,,0.0,,3.0,0.0,,1.0,15.0,0.0,,0.0,gov,0.0033282,1
46335,129.0,74.0,0.023,0.038796169,4.0,1.0,0.434782609,2.0,,0.0,0.0,3.0,link,0.0003306,0
34424,38.0,31.0,,0.060503538,3.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,net,,1
36435,23.0,16.0,0.0,,3.0,0.0,1.0,,10.0,0.0,3.0,0.0,,0.0799628,1
48039,46.0,37.0,0.0,0.064570127,2.0,0.0,0.470588235,1.0,33.0,0.0,0.0,,,0.0059772,0
30968,,7.0,0.0,0.036698894,,0.0,1.0,,51.0,0.0,,,io,0.0129268,0
39598,32.0,25.0,0.0,,2.0,,,1.0,19.0,0.0,,0.0,,0.0056158,1
38969,26.0,19.0,,0.064641124,3.0,0.0,1.0,,13.0,0.0,0.0,,com,,1
4534,23.0,16.0,0.0,0.063383058,2.0,0.0,0.666666667,2.0,9.0,0.0,0.0,0.0,,0.0002328,1
25620,,23.0,0.0,,2.0,0.0,1.0,,,,0.0,0.0,nl,0.0082003,0
28844,35.0,28.0,0.0,,,,1.0,,22.0,0.0,3.0,,com,0.5229071,1
36762,,19.0,0.0,0.057414024,3.0,0.0,,1.0,,,,0.0,com,0.5229071,0
34684,26.0,19.0,0.0,0.057635602,3.0,0.0,,1.0,,0.0,1.0,0.0,com,0.5229071,1
38283,24.0,17.0,0.0,0.062131535,2.0,0.0,0.8,2.0,10.0,0.0,0.0,0.0,il,0.0013543,1
41630,,10.0,0.0,0.036549021,2.0,0.0,,1.0,4.0,0.0,0.0,0.0,pt,0.0015361,1
34148,51.0,29.0,0.0,0.027382622,,0.0,,2.0,21.0,,0.0,0.0,ru,,0
6984,,18.0,0.0,0.064015245,,,1.0,1.0,12.0,0.0,5.0,0.0,com,0.5229071,1
22755,25.0,18.0,0.0,0.057118926,,0.0,0.454545455,,10.0,0.0,2.0,,jp,0.0230451,1
10440,,29.0,,0.06613434,,0.0,1.0,1.0,,,0.0,0.0,com,0.5229071,1
28556,26.0,20.0,0.0,,,0.0,0.636363636,2.0,13.0,0.0,,0.0,shop,0.0004041,0
